State,State Code,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,AL,01/05/2019,"6,660",12/29/2018,"22,085","1,894,608",1.17
Alabama,AL,01/12/2019,"4,386",01/05/2019,"20,075","1,894,608",1.06
Alabama,AL,01/19/2019,"3,217",01/12/2019,"17,574","1,894,608",0.93
Alabama,AL,01/26/2019,"2,414",01/19/2019,"16,904","1,894,608",0.89
Alabama,AL,02/02/2019,"2,505",01/26/2019,"16,343","1,894,608",0.86
Alabama,AL,02/09/2019,"2,659",02/02/2019,"16,382","1,894,608",0.86
Alabama,AL,02/16/2019,"1,960",02/09/2019,"15,578","1,894,608",0.82
Alabama,AL,02/23/2019,"2,193",02/16/2019,"15,894","1,894,608",0.84
Alabama,AL,03/02/2019,"2,306",02/23/2019,"15,715","1,894,608",0.83
Alabama,AL,03/09/2019,"2,106",03/02/2019,"14,790","1,894,608",0.78
Alabama,AL,03/16/2019,"2,149",03/09/2019,"14,372","1,894,608",0.76
Alabama,AL,03/23/2019,"2,220",03/16/2019,"14,269","1,894,608",0.75
Alabama,AL,03/30/2019,"2,250",03/23/2019,"14,131","1,894,608",0.75
Alabama,AL,04/06/2019,"2,891",03/30/2019,"14,581","1,894,608",0.77
Alabama,AL,04/13/2019,"2,381",04/06/2019,"13,967","1,901,111",0.73
Alabama,AL,04/20/2019,"1,935",04/13/2019,"13,870","1,901,111",0.73
Alabama,AL,04/27/2019,"1,920",04/20/2019,"13,627","1,901,111",0.72
Alabama,AL,05/04/2019,"2,474",04/27/2019,"13,900","1,901,111",0.73
Alabama,AL,05/11/2019,"2,404",05/04/2019,"14,009","1,901,111",0.74
Alabama,AL,05/18/2019,"2,481",05/11/2019,"14,501","1,901,111",0.76
Alabama,AL,05/25/2019,"2,729",05/18/2019,"14,681","1,901,111",0.77
Alabama,AL,06/01/2019,"2,929",05/25/2019,"15,210","1,901,111",0.80
Alabama,AL,06/08/2019,"2,790",06/01/2019,"16,100","1,901,111",0.85
Alabama,AL,06/15/2019,"2,422",06/08/2019,"15,927","1,901,111",0.84
Alabama,AL,06/22/2019,"2,380",06/15/2019,"17,698","1,901,111",0.93
Alabama,AL,06/29/2019,"3,278",06/22/2019,"17,260","1,901,111",0.91
Alabama,AL,07/06/2019,"2,363",06/29/2019,"17,885","1,901,111",0.94
Alabama,AL,07/13/2019,"4,293",07/06/2019,"20,440","1,908,660",1.07
Alabama,AL,07/20/2019,"2,785",07/13/2019,"18,778","1,908,660",0.98
Alabama,AL,07/27/2019,"2,292",07/20/2019,"17,961","1,908,660",0.94
Alabama,AL,08/03/2019,"2,425",07/27/2019,"17,865","1,908,660",0.94
Alabama,AL,08/10/2019,"2,195",08/03/2019,"17,372","1,908,660",0.91
Alabama,AL,08/17/2019,"2,123",08/10/2019,"16,635","1,908,660",0.87
Alabama,AL,08/24/2019,"2,055",08/17/2019,"15,948","1,908,660",0.84
Alabama,AL,08/31/2019,"2,135",08/24/2019,"15,707","1,908,660",0.82
Alabama,AL,09/07/2019,"1,769",08/31/2019,"15,325","1,908,660",0.80
Alabama,AL,09/14/2019,"2,081",09/07/2019,"15,310","1,908,660",0.80
Alabama,AL,09/21/2019,"1,999",09/14/2019,"15,060","1,908,660",0.79
Alabama,AL,09/28/2019,"1,879",09/21/2019,"14,687","1,908,660",0.77
Alabama,AL,10/05/2019,"2,057",09/28/2019,"14,607","1,908,660",0.77
Alabama,AL,10/12/2019,"2,161",10/05/2019,"14,430","1,914,918",0.75
Alabama,AL,10/19/2019,"1,703",10/12/2019,"14,490","1,914,918",0.76
Alabama,AL,10/26/2019,"1,984",10/19/2019,"14,197","1,914,918",0.74
Alabama,AL,11/02/2019,"1,977",10/26/2019,"14,214","1,914,918",0.74
Alabama,AL,11/09/2019,"2,208",11/02/2019,"14,125","1,914,918",0.74
Alabama,AL,11/16/2019,"1,888",11/09/2019,"14,152","1,914,918",0.74
Alabama,AL,11/23/2019,"2,290",11/16/2019,"14,304","1,914,918",0.75
Alabama,AL,11/30/2019,"2,032",11/23/2019,"14,157","1,914,918",0.74
Alabama,AL,12/07/2019,"3,227",11/30/2019,"15,961","1,914,918",0.83
Alabama,AL,12/14/2019,"2,362",12/07/2019,"15,078","1,914,918",0.79
Alabama,AL,12/21/2019,"3,163",12/14/2019,"15,146","1,914,918",0.79
Alabama,AL,12/28/2019,"3,200",12/21/2019,"15,544","1,914,918",0.81
Alabama,AL,01/04/2020,"4,578",12/28/2019,"18,523","1,923,741",0.96
Alabama,AL,01/11/2020,"3,629",01/04/2020,"21,143","1,923,741",1.10
